specimen,altSpecimen,gRNA,RNP,dsODN
GTSP2516,GSSP0001,Mock,Mock,Mock
GTSP2517,GSSP0002,Mock,Mock,Gs
GTSP2518,GSSP0003,Mock,Mock,iG3
GTSP2519,GSSP0004,Mock,Mock,iG
GTSP2520,GSSP0005,B2M,Cas9,Mock
GTSP2521,GSSP0006,B2M,Cas9,Gs
GTSP2522,GSSP0007,B2M,Cas9,iG3
GTSP2523,GSSP0008,B2M,Cas9,iG
GTSP2530,iG01,B2M,Cas9,Gs
GTSP2531,iG02,B2M,Cas9,Gs
GTSP2532,iG03,B2M,Cas9,Gs
GTSP2533,iG04,B2M,Cas9,Gs
GTSP2534,iG05,B2M,Cas9,Gs
GTSP2535,iG06,B2M,Cas9,iG
GTSP2536,iG07,B2M,Cas9,iG
GTSP2537,iG08,B2M,Cas9,iG
GTSP2538,iG09,B2M,Cas9,iG
GTSP2539,iG10,B2M,Cas9,iG
GTSP2540,iG11,TRAC5,Cas9,Gs
GTSP2541,iG12,TRAC5,Cas9,Gs
GTSP2542,iG13,TRAC5,Cas9,Gs
GTSP2543,iG14,TRAC5,Cas9,Gs
GTSP2544,iG15,TRAC5,Cas9,Gs
GTSP2545,iG16,TRAC5,Cas9,iG
GTSP2546,iG17,TRAC5,Cas9,iG
GTSP2547,iG18,TRAC5,Cas9,iG
GTSP2548,iG19,TRAC5,Cas9,iG
GTSP2549,iG20,TRAC5,Cas9,iG
GTSP2550,iG21,Mock,Cas9,Gs
GTSP2551,iG22,Mock,Cas9,iG
GTSP2552,iG23,Mock,Mock,Gs
GTSP2553,iG24,Mock,Mock,iG
GTSP2554,iG25,B2M,Mock,Gs
GTSP2555,iG26,B2M,Mock,iG
GTSP2556,iG27,Mock,Mock,Mock
GTSP2625,iG48,VEGFAs2,Cas9,iG
GTSP2626,iG49,VEGFAs2,Cas9,iG
GTSP2627,iG50,VEGFAs2,Cas9,iG
GTSP2628,iG51,VEGFAs2,Cas9,Gs
GTSP2629,iG52,VEGFAs2,Cas9,Gs
GTSP2630,iG53,VEGFAs2,Cas9,Gs
GTSP2631,iG54,VEGFAs3,Cas9,iG
GTSP2632,iG55,VEGFAs3,Cas9,iG
GTSP2633,iG56,VEGFAs3,Cas9,iG
GTSP2634,iG57,VEGFAs3,Cas9,Gs
GTSP2635,iG58,VEGFAs3,Cas9,Gs
GTSP2636,iG59,VEGFAs3,Cas9,Gs
GTSP2637,iG60,Mock,Mock,iG
GTSP2638,iG61,Mock,Mock,iG
GTSP2639,iG62,Mock,Mock,iG
GTSP2640,iG63,Mock,Mock,Gs
GTSP2641,iG64,Mock,Mock,Gs
GTSP2642,iG65,Mock,Mock,Gs
GTSP2643,iG66,Mock,Mock,Mock
GTSP2644,iG67,VEGFAs2,Cas9,Mock
GTSP2645,iG68,VEGFAs3,Cas9,Mock
