seqnames,start,end,width,strand,lociPairKey,readPairKey,sampleName,ID
chrX,133347174,133347452,279,+,1:1,1:1,sineODN_gNYCE-neg-1,M00281:187:000000000-B23R9:1:2112:7954:13685
chr7,111467944,111468275,332,+,1:1,1:1,sineODN_gNYCE-neg-3,M00281:187:000000000-B23R9:1:1108:15545:21180
chr13,40262955,40263141,187,+,1:1,1:1,sineODN_gNYCE-neg-4,M00281:187:000000000-B23R9:1:2113:26379:19052
chr3,89995557,89995869,313,+,1:1,62:19,UntreatedControl-neg-2,M00281:187:000000000-B23R9:1:1101:12387:6264
chr3,89995557,89995869,313,+,1:1,62:19,UntreatedControl-neg-2,M00281:187:000000000-B23R9:1:1101:26919:7103
chr3,89995557,89995869,313,+,1:1,60:10,UntreatedControl-neg-2,M00281:187:000000000-B23R9:1:1101:24295:7380
chr3,89995557,89995869,313,+,1:1,62:19,UntreatedControl-neg-2,M00281:187:000000000-B23R9:1:1101:22247:8302
chr6,152785804,152785994,191,+,2:2,24:62,UntreatedControl-neg-2,M00281:187:000000000-B23R9:1:1101:23082:13532
chr3,89995557,89995869,313,+,1:1,62:19,UntreatedControl-neg-2,M00281:187:000000000-B23R9:1:1101:12487:13799
chr3,89995557,89995869,313,+,1:1,81:19,UntreatedControl-neg-2,M00281:187:000000000-B23R9:1:1101:18648:14038
chr6,152785804,152785994,191,+,2:2,22:62,UntreatedControl-neg-2,M00281:187:000000000-B23R9:1:1101:4682:14565
chr6,152785804,152785994,191,+,2:2,35:62,UntreatedControl-neg-2,M00281:187:000000000-B23R9:1:1101:11355:14689
chr6,152785804,152785994,191,+,2:2,32:59,UntreatedControl-neg-2,M00281:187:000000000-B23R9:1:1101:12931:16360
chr6,152785804,152785994,191,+,2:2,22:62,UntreatedControl-neg-2,M00281:187:000000000-B23R9:1:1101:19158:16453
chr6,152785804,152785994,191,+,2:2,22:62,UntreatedControl-neg-2,M00281:187:000000000-B23R9:1:1101:19119:18692
chr6,152785804,152785994,191,+,2:2,19:62,UntreatedControl-neg-2,M00281:187:000000000-B23R9:1:1101:8416:18880
chr6,152785804,152785994,191,+,2:2,6:64,UntreatedControl-neg-2,M00281:187:000000000-B23R9:1:1101:15020:25623
chr3,89995557,89995869,313,+,1:1,59:19,UntreatedControl-neg-2,M00281:187:000000000-B23R9:1:1101:16378:28955
chr6,152785804,152785994,191,+,2:2,22:62,UntreatedControl-neg-2,M00281:187:000000000-B23R9:1:1102:15776:5600
chr6,152785804,152785994,191,+,2:2,24:62,UntreatedControl-neg-2,M00281:187:000000000-B23R9:1:1102:9662:5957
chr3,89995557,89995869,313,+,1:1,62:19,UntreatedControl-neg-2,M00281:187:000000000-B23R9:1:1102:22548:7183
chr3,89995557,89995869,313,+,1:1,62:19,UntreatedControl-neg-2,M00281:187:000000000-B23R9:1:1102:25799:9541
chr6,152785804,152785994,191,+,2:2,22:62,UntreatedControl-neg-2,M00281:187:000000000-B23R9:1:1102:22082:10857
chr6,152785804,152785994,191,+,2:2,8:65,UntreatedControl-neg-2,M00281:187:000000000-B23R9:1:1102:4423:10857
chr6,152785804,152785994,191,+,2:2,22:62,UntreatedControl-neg-2,M00281:187:000000000-B23R9:1:1102:19202:15871
chr3,89995557,89995869,313,+,1:1,62:19,UntreatedControl-neg-2,M00281:187:000000000-B23R9:1:1102:3718:17414
