seqnames,start,end,width,strand,lociPairKey,readPairKey,sampleName,ID
chr13,35749498,35749703,206,+,3:3,3:2,R1C1-neg-1,M03249:275:000000000-BCC5P:1:1102:10900:16211
chr8,79292376,79292497,122,-,2:2,1:3,R1C1-neg-1,M03249:275:000000000-BCC5P:1:1106:15232:22295
chr2,21601975,21602655,681,+,1:1,2:1,R1C1-neg-1,M03249:275:000000000-BCC5P:1:2113:21756:11606
chrX,33470959,33471270,312,+,5:8,7:1,R1C1-neg-2,M03249:275:000000000-BCC5P:1:1107:26375:16600
chr20,15444791,15445123,333,+,4:7,1:6,R1C1-neg-2,M03249:275:000000000-BCC5P:1:1109:27723:11102
chr1,246773841,246774059,219,+,1:1,4:7,R1C1-neg-2,M03249:275:000000000-BCC5P:1:1110:9770:8722
chr3,168575380,168575664,285,-,2:3,5:4,R1C1-neg-2,M03249:275:000000000-BCC5P:1:1113:27532:11640
chr18,33973485,33973806,322,+,3:5,2:5,R1C1-neg-2,M03249:275:000000000-BCC5P:1:2105:21615:4706
chr18,33973485,33973999,515,+,3:6,2:3,R1C1-neg-2,M03249:275:000000000-BCC5P:1:2108:11496:25784
chr13,40262955,40263128,174,+,12:13,7:10,R1C1-neg-3,M03249:275:000000000-BCC5P:1:1102:17100:12174
chr5,73446597,73446955,359,-,4:5,10:3,R1C1-neg-3,M03249:275:000000000-BCC5P:1:2102:7270:12291
chr2,15325537,15325926,390,-,2:1,3:4,R1C1-neg-3,M03249:275:000000000-BCC5P:1:2102:5236:19170
chr3,168575222,168575664,443,-,3:3,9:8,R1C1-neg-3,M03249:275:000000000-BCC5P:1:2108:26333:12201
chr2,114543140,114543405,266,+,1:2,2:9,R1C1-neg-3,M03249:275:000000000-BCC5P:1:2114:19020:2021
chr8,117084991,117085269,279,-,1:1,1:1,R1C1-neg-4,M03249:275:000000000-BCC5P:1:2101:18864:18981
chr13,35749498,35749789,292,+,2:3,2:2,R1C1-neg-4,M03249:275:000000000-BCC5P:1:2102:19083:11250
chr13,53833966,53834256,291,-,3:2,3:3,R1C1-neg-4,M03249:275:000000000-BCC5P:1:2109:19067:5348
chr3,94744193,94744471,279,-,1:1,2:1,R1C3-neg-1,M03249:275:000000000-BCC5P:1:2109:14055:17576
chr21,14441354,14441985,632,-,7:11,4:11,R1C3-neg-2,M03249:275:000000000-BCC5P:1:1101:25035:21777
chr6,141735632,141735866,235,+,1:2,9:6,R1C3-neg-2,M03249:275:000000000-BCC5P:1:1104:4760:10141
chr13,40262955,40263184,230,+,5:7,6:2,R1C3-neg-2,M03249:275:000000000-BCC5P:1:1106:10214:18499
chr12,69527567,69528052,486,+,4:5,2:7,R1C3-neg-2,M03249:275:000000000-BCC5P:1:1113:26508:20023
chr7,152948511,152948715,205,-,3:4,10:1,R1C3-neg-2,M03249:275:000000000-BCC5P:1:1114:20598:4685
chr18,62286068,62286334,267,-,6:10,3:3,R1C3-neg-2,M03249:275:000000000-BCC5P:1:2108:9167:8772
chr13,40262955,40263164,210,+,5:6,6:5,R1C3-neg-2,M03249:275:000000000-BCC5P:1:2110:23975:7098
chr13,40262955,40263230,276,+,5:9,8:8,R1C3-neg-2,M03249:275:000000000-BCC5P:1:2110:11822:11514
chr13,40262955,40263228,274,+,5:8,7:10,R1C3-neg-2,M03249:275:000000000-BCC5P:1:2111:5120:15359
chr6,161046315,161046581,267,+,2:3,1:9,R1C3-neg-2,M03249:275:000000000-BCC5P:1:2112:28179:18445
chr2,147681617,147681779,163,+,1:1,1:1,R1C3-neg-3,M03249:275:000000000-BCC5P:1:1106:26053:14565
chr4,83988879,83989109,231,-,2:4,4:4,R1C3-neg-3,M03249:275:000000000-BCC5P:1:1107:9219:7108
chr13,40262955,40263288,334,+,5:8,5:7,R1C3-neg-3,M03249:275:000000000-BCC5P:1:1109:17313:27460
chr3,168575253,168575664,412,-,7:23,7:2,R1C3-neg-4,M03249:275:000000000-BCC5P:1:1101:21393:25415
chrX,135416931,135417103,173,+,22:102,17:19,R1C3-neg-4,M03249:275:000000000-BCC5P:1:1102:3839:17925
chr2,72077919,72078083,165,+,2:14,11:13,R1C3-neg-4,M03249:275:000000000-BCC5P:1:1105:25092:21722
chr6,54760386,54760920,535,+,13:57,3:4,R1C3-neg-4,M03249:275:000000000-BCC5P:1:1106:23303:10152
chr5,15423783,15424103,321,+,10:44,8:22,R1C3-neg-4,M03249:275:000000000-BCC5P:1:1112:12794:12850
chr13,40262955,40263130,176,+,20:81,4:17,R1C3-neg-4,M03249:275:000000000-BCC5P:1:1112:16517:16538
chr2,72077919,72078065,147,+,2:13,11:7,R1C3-neg-4,M03249:275:000000000-BCC5P:1:2102:18395:22157
chr5,79662377,79662555,179,+,11:49,20:5,R1C3-neg-4,M03249:275:000000000-BCC5P:1:2107:21460:20911
chr3,189855773,189856496,724,+,5:24,10:9,R1C3-neg-4,M03249:275:000000000-BCC5P:1:2111:27694:15129
chr3,133242081,133242288,208,-,6:21,5:6,R1C3-neg-4,M03249:275:000000000-BCC5P:1:2114:22011:8469
chr13,35749498,35749778,281,+,19:80,9:1,R1C3-neg-4,M03249:275:000000000-BCC5P:1:2114:25512:14141
