"seqnames","start","end","width","strand","specimen","refgenome","patient","celltype","timepoint","count","posid","estAbund","relAbund","relRank","in_gene","in_geneOrt","nearest_geneDist","nearest_gene","nearest_geneOrt","gene_id_wo_annot","gene_id"
"chr1",28314163,28314163,1,"+","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr1+28314163",1,0.00108459869848156,107,"FALSE",NA,-14838,"MED18","+","MED18","MED18"
"chr1",30906532,30906532,1,"-","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr1-30906532",1,0.00108459869848156,107,"SDC3","-",2101,"SDC3","-","SDC3","SDC3*~"
"chr1",38176058,38176058,1,"+","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr1+38176058",1,0.00108459869848156,107,"FALSE",NA,32975,"LINC01343","-","LINC01343","LINC01343"
"chr1",44841985,44841985,1,"+","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr1+44841985",1,0.00108459869848156,107,"PTCH2","-",959,"PTCH2","-","PTCH2","PTCH2*~"
"chr1",46670094,46670094,1,"+","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr1+46670094",1,0.00108459869848156,107,"FALSE",NA,-1667,"ATPAF1","-","ATPAF1","ATPAF1"
"chr1",60930153,60930153,1,"+","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr1+60930153",1,0.00108459869848156,107,"FALSE",NA,10090,"NFIA-AS2","-","NFIA-AS2","NFIA-AS2"
"chr1",117210590,117210590,1,"+","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",8,"chr1+117210590",1,0.00108459869848156,107,"VTCN1","-",370,"VTCN1","-","VTCN1","VTCN1*~"
"chr1",204437617,204437617,1,"+","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr1+204437617",1,0.00108459869848156,107,"PIK3C2B","-",-14988,"PIK3C2B","-","PIK3C2B","PIK3C2B*"
"chr1",208097510,208097510,1,"+","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",3,"chr1+208097510",1,0.00108459869848156,107,"PLXNA2","-",-75268,"PLXNA2","-","PLXNA2","PLXNA2*"
"chr1",222441667,222441667,1,"-","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr1-222441667",1,0.00108459869848156,107,"FALSE",NA,80592,"HHIPL2","-","HHIPL2","HHIPL2"
"chr1",241726239,241726239,1,"-","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",4,"chr1-241726239",1,0.00108459869848156,107,"WDR64","+",73962,"WDR64","+","WDR64","WDR64*"
"chr2",14869402,14869402,1,"+","GTSP0560","hg38","p04409-10","Tcells:CAR+CD8+","d121",1,"chr2+14869402",1,0.00108459869848156,107,"FALSE",NA,217486,"FAM84A","+","FAM84A","FAM84A"
