seqnames,start,end,width,strand,lociPairKey,readPairKey,sampleName,ID
chr20,41529315,41529473,159,+,5:33,2:3,sineODN_gNYCE-pos-1,M03249:237:000000000-B3DY7:1:1106:25591:20263
chr1,239002357,239002753,397,-,1:1,5:2,sineODN_gNYCE-pos-1,M03249:237:000000000-B3DY7:1:1107:25332:12199
chr12,66916667,66916832,166,+,3:18,4:5,sineODN_gNYCE-pos-1,M03249:237:000000000-B3DY7:1:1107:27889:16970
chr1,239002357,239002753,397,-,1:1,6:2,sineODN_gNYCE-pos-1,M03249:237:000000000-B3DY7:1:2101:20010:21838
chr1,239002357,239002753,397,-,1:1,5:2,sineODN_gNYCE-pos-1,M03249:237:000000000-B3DY7:1:2104:4229:10753
chr9,18903308,18903545,238,+,2:17,1:1,sineODN_gNYCE-pos-1,M03249:237:000000000-B3DY7:1:2114:6929:6535
chr8,54832115,54832282,168,-,1:1,3:3,sineODN_gNYCE-pos-2,M03249:237:000000000-B3DY7:1:1105:9472:22865
chr14,59745903,59746025,123,-,2:2,1:2,sineODN_gNYCE-pos-2,M03249:237:000000000-B3DY7:1:1109:22971:10707
chr1,239002357,239002753,397,-,1:1,7:3,sineODN_gNYCE-pos-3,M03249:237:000000000-B3DY7:1:1102:16266:10321
chr1,239002357,239002753,397,-,1:1,7:3,sineODN_gNYCE-pos-3,M03249:237:000000000-B3DY7:1:1103:17514:18255
chr14,86329375,86329755,381,-,6:6,3:1,sineODN_gNYCE-pos-3,M03249:237:000000000-B3DY7:1:1104:10312:13583
chr2,77126463,77126664,202,-,2:2,2:6,sineODN_gNYCE-pos-3,M03249:237:000000000-B3DY7:1:1106:12965:7625
chr13,68775312,68775473,162,-,5:5,4:4,sineODN_gNYCE-pos-3,M03249:237:000000000-B3DY7:1:1112:4800:11092
chr13,68775312,68775473,162,-,5:5,4:4,sineODN_gNYCE-pos-3,M03249:237:000000000-B3DY7:1:1113:12130:5095
chr14,86329375,86329755,381,-,6:6,3:1,sineODN_gNYCE-pos-3,M03249:237:000000000-B3DY7:1:1114:19425:13268
chr13,68775312,68775473,162,-,5:5,4:4,sineODN_gNYCE-pos-3,M03249:237:000000000-B3DY7:1:2108:9152:10159
chr7,132192329,132192475,147,+,2:4,2:7,sineODN_gNYCE-pos-4,M03249:237:000000000-B3DY7:1:1113:20390:11416
chr1,106000197,106000525,329,-,1:1,1:1,sineODN_gNYCE-pos-4,M03249:237:000000000-B3DY7:1:2105:16778:12069
